Admin,Keluar program,10 September 2012,14:08:51
Admin,Masuk form penjualan,11 September 2012,09:05:21
Admin,Masuk form pembelian,11 September 2012,09:05:23
Admin,Berhasil login.,11 September 2012,09:05:23
Admin,Masuk form barang,11 September 2012,09:08:34
Admin,Masuk form penjualan,11 September 2012,09:10:37
Admin,Masuk form barang,11 September 2012,09:13:16
Admin,Keluar program,11 September 2012,09:15:07
Admin,Masuk form penjualan,12 September 2012,05:11:26
Admin,Masuk form pembelian,12 September 2012,05:11:27
Admin,Berhasil login.,12 September 2012,05:11:27
Admin,Masuk form Pelanggan,12 September 2012,05:11:27
Admin,Masuk form penjualan,12 September 2012,05:19:10
Admin,Masuk form pembelian,12 September 2012,05:19:11
Admin,Berhasil login.,12 September 2012,05:19:11
Admin,Masuk form Pelanggan,12 September 2012,05:19:12
Admin,Keluar program,12 September 2012,05:19:18
Admin,Masuk form penjualan,12 September 2012,05:21:04
Admin,Masuk form pembelian,12 September 2012,05:21:05
Admin,Berhasil login.,12 September 2012,05:21:05
Admin,Masuk form Pelanggan,12 September 2012,05:21:05
Admin,Masuk form penjualan,12 September 2012,05:21:31
Admin,Masuk form pembelian,12 September 2012,05:21:31
Admin,Berhasil login.,12 September 2012,05:21:31
Admin,Masuk form Pelanggan,12 September 2012,05:21:31
Admin,Masuk form penjualan,12 September 2012,05:21:43
Admin,Masuk form pembelian,12 September 2012,05:21:44
Admin,Berhasil login.,12 September 2012,05:21:44
Admin,Masuk form Pelanggan,12 September 2012,05:21:45
Admin,Masuk form penjualan,12 September 2012,05:22:03
Admin,Masuk form pembelian,12 September 2012,05:22:04
Admin,Berhasil login.,12 September 2012,05:22:04
Admin,Masuk form Pelanggan,12 September 2012,05:22:09
Admin,Masuk form penjualan,12 September 2012,05:59:33
Admin,Masuk form penjualan,12 September 2012,06:05:17
Admin,Masuk form penjualan,12 September 2012,06:22:40
Admin,Masuk form pembelian,12 September 2012,06:22:41
Admin,Berhasil login.,12 September 2012,06:22:41
Admin,Keluar program,12 September 2012,06:22:55
Admin,Masuk form penjualan,12 September 2012,06:23:50
Admin,Masuk form pembelian,12 September 2012,06:23:51
Admin,Berhasil login.,12 September 2012,06:23:51
Admin,Keluar program,12 September 2012,06:24:51
Admin,Masuk form penjualan,12 September 2012,06:25:13
Admin,Masuk form pembelian,12 September 2012,06:25:14
Admin,Berhasil login.,12 September 2012,06:25:14
Admin,Keluar program,12 September 2012,06:25:25
Admin,Masuk form penjualan,12 September 2012,06:31:35
Admin,Masuk form pembelian,12 September 2012,06:31:36
Admin,Berhasil login.,12 September 2012,06:31:36
Admin,Masuk form penjualan,12 September 2012,08:04:22
Admin,Masuk form pembelian,12 September 2012,08:04:23
Admin,Berhasil login.,12 September 2012,08:04:23
Admin,Keluar program,12 September 2012,08:04:31
